"","Make","Model","Style","CHStyleId","Year","Milage","RealPrice","Edmund's Price","KBB Price","CarGurus Price"
"55","Nissan","Altima","2dr Cpe I4 Manual 2.5 S","97E1U9FEI1YO",2011,"\N",9215,"7574",8251,"9448"
"56","Nissan","Altima","4dr Sdn V6 CVT 3.5 SR","80OP9MH51PTW",2012,"\N",9250,"9306",10897,"12087"
"57","Nissan","Altima","4dr Sdn I4 2.5 S","4SQRIOZIMDTI",2013,"\N",10934,"10332",10083,"11981"
"58","Nissan","Altima","2dr Cpe I4 2.5 S","G9OCXILASQ5A",2013,"\N",11544,"10864",11228,"NA"
"59","Nissan","Altima","4dr Sdn I4 2.5 SV","L6Z3XRTWG92U",2013,"\N",11056,"10793",12003,"12481"
"60","Nissan","Altima","4dr Sdn V6 3.5 SL","3W2P1POXJGJ1",2014,"\N",15431,"15626",15503,"16906"
"61","Nissan","Altima","4dr Sdn I4 2.5 SV","GSBNDGJ8YZZR",2014,"\N",12358,"12657",11910,"13785"
"62","Nissan","Altima","4dr Sdn V6 3.5 S","2ZH8KVIFAN1X",2015,"\N",15580,"17754",14263,"18610"
"63","Nissan","Altima","4dr Sdn V6 3.5 SL","205MIDB0MWH3",2016,"\N",16744,"19030",17437,"21783"
"64","Nissan","Altima","2.5 SL Sedan","2IBTE02XLFQO",2017,"\N",23542,"18927",16539,"NA"
